label,description,paper_file,runner_path,artifact_paths,seed,status
tab:christoffersen_power,Christoffersen-cc power calibration,sections/sensitivity_appendix.tex,runners/var_backtest/run_christoffersen_power.jl,results/diagnostics/christoffersen_power/christoffersen_power.txt,20260420,current (zero-breach Kupiec limit form fixed; artifact regenerated)
tab:engle_manganelli_dq,DQ + cc for CHMM-N K in {3;18},sections/sensitivity_appendix.tex,runners/var_backtest/run_engle_manganelli_dq.jl,results/diagnostics/engle_manganelli_dq.txt,20260420,current
tab:cond_var_quarterly_refit,Quarterly-refit conditional VaR,sections/sensitivity_appendix.tex,runners/var_backtest/run_quarterly_refit_conditional_var.jl,results/diagnostics/quarterly_refit_conditional_var.txt,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:cross_ticker_quarterly_refit,Quarterly-refit cross-ticker panel,sections/sensitivity_appendix.tex,runners/robustness/run_sector_panel_quarterly_refit.jl,results/sector_panel/sector_panel_quarterly_refit.txt,20260420,verified (2026-07-16 spot-check: K*=3 column in paper resynced to artifact values 96.7/84.6/23.0)
tab:hsmm_gamma,Gamma-sojourn HSMM on SPY,sections/sensitivity_appendix.tex,runners/baselines/run_hsmm_gamma.jl,results/hsmm_gamma/hsmm_gamma_metrics.csv,20260420,current
tab:var_es,VaR/ES envelope for SPY,sections/sensitivity_appendix.tex,runners/diagnostics/run_diagnostics.jl,results/diagnostics/utility/,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:lambda_cv_pre2020,Held-out CV of 1/nu shrinkage lambda,sections/sensitivity_appendix.tex,runners/robustness/run_lambda_cv_pre2020.jl (LAMBDA_CV_K=18 for the paper table; K=3 for the re-tuning paragraph),results/nu_shrinkage_sweep/lambda_cv_pre2020_k18.txt + lambda_cv_pre2020_k3.txt,20260420,K-suffixed outputs (previously one path overwritten per run)
tab:cross_decade_validation,Cross-decade CRSP 1994-2006 validation,sections/sensitivity_appendix.tex,runners/robustness/run_cross_decade_validation.jl,results/cross_decade_validation/,20260420,current
tab:ks_power,OoS KS pass-rate calibration,sections/baselines_appendix.tex,runners/baselines/run_ks_block_bootstrap_oos.jl,results/diagnostics/ks_power/,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:ks_block_bootstrap,IS-anchored block-bootstrap KS recalibration,sections/baselines_appendix.tex,runners/baselines/run_ks_block_bootstrap.jl,results/ks_block_bootstrap/KS_Bootstrap_Recalibration.txt,20260422,current (two-sample null; regenerated)
tab:ks_block_bootstrap_oos,OoS-anchored block-bootstrap KS recalibration,sections/baselines_appendix.tex,runners/baselines/run_ks_block_bootstrap_oos.jl,results/ks_block_bootstrap/KS_Bootstrap_Recalibration_OoS.txt,20260422,current (two-sample null; regenerated)
tab:ks_block_body,Block-aware OoS KS at L=20 K*=3 and K=6,sections/baselines_appendix.tex,runners/baselines/run_ks_block_body_kstar.jl,results/ks_block_bootstrap/KS_Bootstrap_Body_Kstar.txt,20260422,current (two-sample null; regenerated)
tab:extended_baselines,Extended conditional-volatility baseline panel,sections/baselines_appendix.tex,runners/baselines/run_garch_suite.jl + runners/headline/run_smchmm_baseline.jl + run_quantgan_baseline.jl,results/garch_suite/ + results/smchmm_baseline/ + results/quantgan_baseline/,20260422,current (GARCH rows spot-checked)
tab:sv_msm_jd,SV/MSM/Merton-JD baselines,sections/baselines_appendix.tex,runners/baselines/run_sv_msm_jd_baselines.jl,results/sv_msm_jd/,20260420,current
tab:leverage_effect,Leverage-effect correlation per path,sections/baselines_appendix.tex,runners/baselines/run_leverage_effect.jl,results/diagnostics/leverage_effect/,20260420,current
tab:full_tcopula_mle,Two-step vs full joint t-copula MLE,sections/baselines_appendix.tex,runners/cross_asset/run_full_tcopula_mle.jl,results/copula_profile_ci/full_tcopula_mle.txt,20260420,current
tab:sim_regression,SIM regression for non-market assets,sections/cross_asset_appendix.tex,runners/headline/run_cross_asset_sim_copula.jl,results/cross_asset/,20260422,verified (2026-07-16 spot-check: table values traced to artifact)
tab:rolling_copula,2x2 family/refit copula experiment (paired quarter design under strict CRN; partial block excluded from inference),sections/cross_asset_appendix.tex,runners/cross_asset/run_cross_asset_rolling_copula.jl,results/cross_asset/Rolling_Copula_OoS.txt,20260422,current (regenerated 2026-07-16: strict four-argument CRN interface in all arms)
tab:nonoverlap_basket,Non-overlapping six-name basket,sections/cross_asset_appendix.tex,runners/cross_asset/run_nonoverlap_basket.jl,results/cross_asset/nonoverlap_basket.txt,20260422,verified (2026-07-16 spot-check: table values traced to artifact)
tab:per_pair_offdiag_mae,Per-pair off-diagonal MAE seven-ticker universe,sections/cross_asset_appendix.tex,runners/cross_asset/run_non_us_asset.jl,results/non_us_asset/Per_Pair_OffDiag_MAE.txt,20260422,current
tab:christoffersen_var,Christoffersen conditional-coverage VaR K=18,sections/metrics_appendix.tex,runners/diagnostics/run_diagnostics.jl,results/diagnostics/utility/Christoffersen_VaR.txt,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:variant_choice,Variant decision guide (qualitative),sections/supplementary.tex,none,none,,qualitative
tab:cross_ticker,Cross-ticker 30-ticker generalisation panel,sections/supplementary.tex,runners/headline/run_cross_ticker_penalised.jl + run_sector_panel.jl,results/chmm_t_penalised/ + results/sector_panel/sector_panel_summary_k3.txt,20260420,verified (2026-07-16 spot-check: medians 96.8/69.1 traced to sector_panel_summary_k3.txt; artifact path corrected from the K=18 summary)
tab:k_selection_cv,Pre-OoS K-selection validation designs,sections/supplementary.tex,runners/robustness/run_k_selection_kfold_pre2020.jl + run_k_selection_kfold_h12y_pre2020.jl + run_k_selection_validation_pre2020.jl + run_k_selection_hac.jl,results/k_selection_validation/ + results/k_selection_hac/,20260420;20260422,verified (2026-07-16 spot-check: table values traced to artifact)
tab:nu_shrinkage,1/nu shrinkage-rate sweep,sections/supplementary.tex,runners/robustness/run_nu_shrinkage_sweep.jl,results/nu_shrinkage_sweep/NU_Shrinkage_Sweep.txt,20260422,current
tab:walkforward,Six-fold walk-forward OoS CHMM-N,sections/supplementary.tex,runners/robustness/run_walkforward_oos.jl,results/walkforward/walkforward_summary.txt,20260420,current
tab:cond_var_all_families,Sixteen-row conditional VaR family panel,sections/supplementary.tex,runners/var_backtest/run_conditional_var_all_families.jl,results/conditional_var_all_families/conditional_var_panel.txt,20260420,current
tab:walkforward_cond_var,Walk-forward conditional VaR six folds,sections/supplementary.tex,runners/var_backtest/run_walkforward_conditional_var.jl,results/walkforward/walkforward_conditional_var.txt,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:cross_asset_supp_summary,Cross-asset dependence summary (SIM/Gauss/t/vine),sections/supplementary.tex,runners/headline/run_cross_asset_sim_copula.jl,results/cross_asset/Table-T3-Cross-Asset-Dependence.txt,20260422,current
tab:emission_families,Four emission-family densities (qualitative),sections/supplementary.tex,none,none,,qualitative
tab:stationarity_scope,Stationarity-scope rollup (qualitative),sections/supplementary.tex,multiple (see component rows),multiple,,qualitative
tab:feed_boundary,OoS feed-boundary pre/post diagnostic,sections/supplementary.tex,runners/diagnostics/run_feed_boundary_check.jl,results/diagnostics/feed_boundary_check.txt,,current
fig:stylized_facts,Three Cont stylized facts on SPY IS,sections/sensitivity_appendix.tex,runners/headline/run_fig1_stylized_facts.jl,figs/Fig-1-Stylized-Facts-*.pdf (paper repo),20260420,current
fig:p_hist,CHMM-GED p-hat partition K=18,sections/sensitivity_appendix.tex,runners/baselines/run_ged_diagnostics.jl,figs/Fig-p-Histogram-*.pdf (paper repo),20260420,current
fig:copula_profile,Student-t copula profile log-likelihood,sections/cross_asset_appendix.tex,runners/diagnostics/run_diagnostics.jl,figs/Fig-Copula-Profile.pdf (paper repo),20260420,current
fig:cross_asset_corr,Cross-asset correlation reproduction panels,sections/cross_asset_appendix.tex,runners/headline/run_cross_asset_sim_copula.jl,figs/Fig-Cross-Asset-Correlation-*.pdf (paper repo),20260422,current
fig:var_es,VaR/ES envelope panels,sections/metrics_appendix.tex,runners/diagnostics/run_diagnostics.jl,figs/Fig-VaR-ES-*.pdf (paper repo),20260420,current
fig:nu_hist,Per-state nu_k histogram CHMM-t K=18,sections/algorithms_appendix.tex,runners/diagnostics/run_diagnostics.jl,figs/Fig-nu-Histogram.pdf (paper repo),20260420,current
fig:chmm_architecture,Architecture schematic (TikZ; no artifact),sections/methods.tex,none,none,,qualitative
tab:crps_dm,Five-row CHMM CRPS Diebold-Mariano panel with HAC CIs,sections/results.tex,runners/robustness/run_crps_dm_kstar3.jl,results/crps_dm_kstar3/ + paper results/robustness/crps_dm_kstar3.csv,20260420,current
fig:acf_horizon,Observed-vs-simulated ACF figure + horizon-banded MAE (band restricted to lags <= 5),sections/results.tex,runners/headline/run_acf_horizon_diagnostics.jl,results/acf_horizon/ + figs/Fig-ACF-Observed-vs-Simulated.pdf (paper repo),20260420,current (regenerated 2026-07-16)
tab:var_inference,Exact binomial + bootstrap DQ (B=2000; two calibrated rows) + pinball panel,sections/sensitivity_appendix.tex,runners/var_backtest/run_var_inference_upgrade.jl,results/var_inference_upgrade/var_inference_upgrade.txt,20260420,current
